variant,sensing,noise_pct,seed,epochs,train_time_s,test_cv_rmse,test_nmbe,test_r2,test_mae_kW,test_n,train_cv_rmse,train_nmbe,train_r2,train_mae_kW,train_n,err_C_z,err_C_w,err_R_zw,err_R_wo,err_R_inf,rec_C_z,rec_C_w,rec_R_zw,rec_R_wo,rec_R_inf
V2_soft_physics,S3,5,0,600,7.4,7.8882,2.224,0.9829,3.5186,429,7.5677,0.0987,0.9811,3.7516,1711,,,,,,,,,,
V3_hard_arch,S3,5,0,600,2.9,31.8502,-20.1181,0.7216,17.0041,429,29.6046,-12.6632,0.7105,17.6665,1711,60.0,60.0,44.54,44.54,48.41,56000000.0,320000000.0,0.0006504281773231924,0.004047103691846132,0.00018056384578812867
V4_neural_forcing,S3,5,0,600,6.1,9.788,5.4813,0.9737,4.732,429,8.236,-0.7456,0.9776,4.0934,1711,0.0,0.0,144.72,138.77,125.7,35000000.0,200000000.0,0.0011012613540515304,0.0066854460164904594,0.000789936981163919
V4F_fixed_Qint,S3,5,0,600,3.1,23.1288,-12.7809,0.8532,12.3096,429,20.2671,-10.1783,0.8643,12.3229,1711,0.0,0.0,146.79,105.16,33.53,35000000.0,200000000.0,0.001110569341108203,0.005744496826082468,0.00023264001356437802
V5_wrong_constraints,S3,5,0,600,6.3,298.7593,200.6131,-23.4922,135.7613,429,350.9272,265.7144,-39.6745,193.6478,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711084077134728,0.009153571911156178,2.2994507162366062e-05
V1_blackbox,S3,10,0,600,4.9,15.0729,8.8503,0.9406,7.3277,429,11.9592,0.0187,0.9535,5.9336,1711,,,,,,,,,,
V2_soft_physics,S3,10,0,600,5.0,12.1642,1.4365,0.9613,5.114,429,11.6639,0.0888,0.9557,5.7616,1711,,,,,,,,,,
V3_hard_arch,S3,10,0,600,2.0,32.5762,-21.3662,0.7227,17.6157,429,30.9294,-12.7162,0.6888,18.2963,1711,60.0,60.0,48.76,48.76,47.9,56000000.0,320000000.0,0.0006694293697364628,0.004165336489677429,0.0001823438797146082
V4_neural_forcing,S3,10,0,600,4.1,13.2348,4.0094,0.9542,5.9987,429,12.0546,-0.6483,0.9527,5.8966,1711,0.0,0.0,145.42,139.57,127.06,35000000.0,200000000.0,0.0011044044513255358,0.006707876920700073,0.0007947079720906913
V4F_fixed_Qint,S3,10,0,600,2.2,24.1909,-14.0637,0.8471,12.9429,429,22.3518,-10.2252,0.8375,13.3785,1711,0.0,0.0,153.98,112.74,32.54,35000000.0,200000000.0,0.0011429190635681152,0.00595666142180562,0.00023610061907675117
V5_wrong_constraints,S3,10,0,600,2.8,295.187,198.3367,-21.7705,135.2845,429,354.8291,268.6288,-39.9627,194.175,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711149269714952,0.009153610095381737,2.2994507162366062e-05
