variant,sensing,noise_pct,test_cv_rmse_mean,test_cv_rmse_std,test_cv_rmse_count,err_R_s_mean,err_R_s_std,err_R_s_count,err_G_s_mean,err_G_s_std,err_G_s_count,err_R_inf_mean,err_R_inf_std,err_R_inf_count,err_G_inf_mean,err_G_inf_std,err_G_inf_count,ident_mean_err_mean,ident_mean_err_std,ident_mean_err_count,err_R_zw_mean,err_R_zw_std,err_R_zw_count,err_R_wo_mean,err_R_wo_std,err_R_wo_count
V2_soft_physics,S2,10,13.02612,0.8069954504208814,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S3,0,5.35058,0.07862599442932362,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S3,5,7.9073400000000005,0.3070009576532297,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S3,10,13.02612,0.8069954504208814,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V3_hard_arch,S1,0,31.118299999999998,0.0,5,46.09758957073844,0.0,5,31.552601043029956,0.0,5,48.19,0.0,5,93.02136314314774,0.0,5,47.143794785369224,0.0,5,46.1,0.0,5,46.1,0.0,5
V3_hard_arch,S1,5,31.77226,0.14881195516489903,5,45.73038770601969,1.4908856794508123,5,31.37440204704697,0.7000895383664204,5,48.239999999999995,0.18694919095839904,5,93.20659434819963,0.6962243062772816,5,46.98519385300985,0.6682830909844989,5,45.732,1.4908453977525635,5,45.732,1.4908453977525635,5
V3_hard_arch,S1,10,32.814319999999995,0.2755900070757284,5,46.488334911944015,1.4830526040036212,5,31.72960432932448,0.6882984479478401,5,48.182,0.2558710612789185,5,92.98526179401925,0.9473155351672332,5,47.33516745597201,0.7297220862081812,5,46.488,1.4824877739799396,5,46.488,1.4824877739799396,5
V3_hard_arch,S2,0,31.118299999999998,0.0,5,46.09758957073844,0.0,5,31.552601043029956,0.0,5,48.19,0.0,5,93.02136314314774,0.0,5,47.143794785369224,0.0,5,46.1,0.0,5,46.1,0.0,5
V3_hard_arch,S2,5,31.77226,0.14881195516489903,5,45.73038770601969,1.4908856794508123,5,31.37440204704697,0.7000895383664204,5,48.239999999999995,0.18694919095839904,5,93.20659434819963,0.6962243062772816,5,46.98519385300985,0.6682830909844989,5,45.732,1.4908453977525635,5,45.732,1.4908453977525635,5
V3_hard_arch,S2,10,32.814319999999995,0.2755900070757284,5,46.488334911944015,1.4830526040036212,5,31.72960432932448,0.6882984479478401,5,48.182,0.2558710612789185,5,92.98526179401925,0.9473155351672332,5,47.33516745597201,0.7297220862081812,5,46.488,1.4824877739799396,5,46.488,1.4824877739799396,5
V3_hard_arch,S3,0,31.118299999999998,0.0,5,46.09758957073844,0.0,5,31.552601043029956,0.0,5,48.19,0.0,5,93.02136314314774,0.0,5,47.143794785369224,0.0,5,46.1,0.0,5,46.1,0.0,5
V3_hard_arch,S3,5,31.77226,0.14881195516489903,5,45.73038770601969,1.4908856794508123,5,31.37440204704697,0.7000895383664204,5,48.239999999999995,0.18694919095839904,5,93.20659434819963,0.6962243062772816,5,46.98519385300985,0.6682830909844989,5,45.732,1.4908453977525635,5,45.732,1.4908453977525635,5
V3_hard_arch,S3,10,32.814319999999995,0.2755900070757284,5,46.488334911944015,1.4830526040036212,5,31.72960432932448,0.6882984479478401,5,48.182,0.2558710612789185,5,92.98526179401925,0.9473155351672332,5,47.33516745597201,0.7297220862081812,5,46.488,1.4824877739799396,5,46.488,1.4824877739799396,5
V4F_fixed_Qint,S1,0,22.0334,0.0,5,113.71764775651693,0.0,5,53.2092922368641,0.0,5,33.12,0.0,5,49.521141765387256,0.0,5,73.41882387825846,0.0,5,149.54,0.0,5,107.96,0.0,5
V4F_fixed_Qint,S1,5,22.88892,0.22128224510791591,5,113.05580766728,2.6695831445501983,5,53.05806543396612,0.5861387793558084,5,33.21,0.3554574517435252,5,49.729538214504885,0.7906259571945975,5,73.13290383364,1.1815579324128493,5,148.878,2.596260772726813,5,107.298,2.679845144779826,5
V4F_fixed_Qint,S1,10,24.77234,0.41583059411255563,5,114.40749271557664,2.6412932497979207,5,53.3542041340657,0.5717966278196016,5,33.088,0.4446571713129118,5,49.458164555153736,0.9875051039601369,5,73.74774635778832,1.2781619998577176,5,150.148,2.471754437641415,5,108.66600000000001,2.668441492706925,5
V4F_fixed_Qint,S2,0,22.0334,0.0,5,113.71764775651693,0.0,5,53.2092922368641,0.0,5,33.12,0.0,5,49.521141765387256,0.0,5,73.41882387825846,0.0,5,149.54,0.0,5,107.96,0.0,5
