timestamp,T_oa_C,I_sol_Wm2,Q_int_W,Q_cw_W,Q_cw_meas_W,T_z,T_z_meas_C,sigma_cw_W,split,T_z_obs
2023-09-14 08:00:00,25.06148,312.05386,29999.998,55633.23839701795,58736.63642622549,23.27816619198509,23.365181219484217,2604.9091141699146,test,
2023-09-14 09:00:00,25.777235,530.0568,42702.97,77636.44388672546,83585.86311076967,23.388182219433627,23.41203103836106,3069.963465163552,test,
2023-09-14 10:00:00,29.017181,730.441,48102.91,99429.59940534877,95416.40268784606,23.497147997026744,22.719333042406063,3591.3257599551334,test,
2023-09-14 11:00:00,29.90336,849.34546,49560.277,109171.7557335528,104597.11199428093,23.545858778667764,24.162501836253348,3837.5285047738557,test,
2023-09-14 12:00:00,30.269152,910.10095,49899.992,114270.49318887299,118357.18650435649,23.571352465944365,23.3030708646983,3968.875288071602,test,
2023-09-14 13:00:00,32.324783,919.5489,49972.953,121832.00862691876,124802.35709363797,23.609160043134594,24.224703869916283,4166.3814627879,test,
2023-09-14 14:00:00,32.821194,793.1851,49972.953,121000.58438735672,124705.88574699945,23.605002921936784,23.170230477741388,4144.517737912778,test,
2023-09-14 15:00:00,32.63833,627.3458,49899.992,116269.75064435498,117411.63258403343,23.581348753221775,23.337628405654815,4020.79462586818,test,
2023-09-14 16:00:00,32.35251,383.9644,49560.277,107947.71531221627,113476.40269257528,23.53973857656108,22.878883761808193,3806.2367657588725,test,
2023-09-14 17:00:00,32.26829,196.91542,48102.91,100156.31570659878,106522.63279169991,23.500781578532994,23.609419071315802,3609.4540886854197,test,
2023-09-14 18:00:00,31.116306,67.307465,42702.97,87297.96412548936,91892.81915536668,23.436489820627447,23.106112774384076,3295.2755706328576,test,
2023-09-14 19:00:00,29.974821,26.760838,29999.998,69948.81881061659,72192.70623741033,23.349744094053083,23.027844047823578,2898.8883261865094,test,
2023-09-14 20:00:00,28.823599,0.0,17297.02,52726.46937420973,50352.03810629463,23.26363234687105,22.85187808171873,2549.9161781130238,test,
2023-09-14 21:00:00,27.257362,9.478536,11897.035,42316.18423020791,47138.41266896054,23.21158092115104,23.444787439972398,2368.880221333364,test,
2023-09-14 22:00:00,25.531378,1.3902245,10439.478,34945.031320518894,40703.82333655345,23.174725156602594,23.38816425207286,2258.105332484037,test,
2023-09-14 23:00:00,24.0142,41.618816,10098.905,30842.418854970078,35262.808189140924,23.15421209427485,23.697822261598485,2203.6627057566848,test,
2023-09-15 00:00:00,21.954224,0.0,10000.246,23151.7476775565,24289.396310047043,23.115758738387783,22.91004675206589,2117.1686466771416,test,
2023-09-15 01:00:00,21.065804,0.0,10001.102,19716.73737154873,24122.0267689157,23.098583686857744,23.164229498171785,2085.6353370905385,test,
2023-09-15 02:00:00,21.239994,0.0,10004.936,19358.00216957517,24150.148831331302,23.096790010847876,22.70998945162729,2082.6087062138076,test,
2023-09-15 03:00:00,20.96702,14.968847,10022.111,18464.62218761502,24699.625267456337,23.092323110938075,22.99181140411748,2075.29468877994,test,
2023-09-15 04:00:00,21.119858,31.449123,10098.905,18846.174340848876,20025.285621635383,23.094230871704244,22.93857727771989,2078.379286501168,test,
2023-09-15 05:00:00,21.848125,0.0,10439.478,19605.293023658276,22133.205504499878,23.09802646511829,23.23736145236692,2084.689608332414,test,
2023-09-15 06:00:00,22.243896,3.0629718,11897.035,21588.18472516444,26159.135561424704,23.107940923625822,23.41304746555128,2102.247546735408,test,
2023-09-15 07:00:00,23.934109,124.38493,17297.02,34534.22774335308,37663.538772418106,23.172671138716765,23.469991145966215,2252.4101751783132,test,
2023-09-15 08:00:00,24.759672,331.73563,29999.998,55572.59029307886,55663.355533172595,23.277862951465394,23.02501926980011,2603.7437494296864,test,
